store,price,friendly name,city,state,zip,address,Unnamed: 6
417,239.0,N.E. Tallahassee,Tallahassee,FL,32308,2121 N.E. Capitol Cir,
416,239.0,Rock Hill,Rock Hill,SC,29730,1350 Springdale Rd,
414,239.0,Jonesboro,Jonesboro,AR,72401,2111 Fair Park Blvd,
415,239.0,York,York,PA,17402,2449 East Market St,
413,239.0,Madison,Madison,TN,37115,10 Campbell Rd,
411,239.0,Huntsville,Huntsville,AL,35803,10050 S. Memorial Pkwy,
410,239.0,Myrtle Beach,Myrtle Beach,SC,29577,1160 Seaboard St,
408,239.0,N. Charlotte,Charlotte,NC,28213,1100 Chancellor Park Dr,
404,239.0,S.W. Greensboro,Greensboro,NC,27407,1703 South Forty Dr,
403,239.0,S. Savannah,Savannah,GA,31419,11114 Abercorn St,
402,239.0,Charles County,Waldorf,MD,20601,2525 Crain Hwy,
397,239.0,N. Manassas,Manassas,VA,20109,7500 Broken Branch Ln,
390,239.0,Hermitage,Hermitage,TN,37076,5025 Old Hickory Blvd.,
388,239.0,Fayetteville,Fayetteville,NC,28314,1929 Skibo Square,
387,239.0,N. Greensboro,Greensboro,NC,27408,3001 Battleground Ave,
385,239.0,Irmo,Columbia,SC,29212,390 Harbison Blvd,
278,239.0,Joplin,Joplin,MO,64804,2600 Range Line Rd,
428,239.0,Shreveport,Shreveport,LA,71118,2710 Alkay Dr,
275,239.0,W. Indianapolis,Indianapolis,IN,46224,975 Beachway Dr,
271,239.0,Lubbock,Lubbock,TX,79424,5022 West Loop 289,
221,239.0,Temple,Temple,TX,76502,605 SW H.K. Dodgen Loop,
220,239.0,Louisville,Louisville,CO,80027,1171 Dillon Rd,
215,239.0,Terre Haute,Terre Haute,IN,47802,4701 South U.S. Highway 41,
212,239.0,Mobile,Mobile,AL,36606,151 East I-65 Service Rd South,
211,239.0,Marion,Marion,IN,46953,2842 South Western Ave,
210,239.0,Zanesville,Zanesville,OH,43701,3755 Frazeysburg Rd,
209,239.0,Killeen,Killeen,TX,76542,2801 South W.S. Young Dr,
208,239.0,La Quinta,La Quinta,CA,92253,78-865 Highway 111,
207,239.0,Wilmington Pike,Centerville,OH,45459,6300 Wilmington Pike,
205,239.0,Enid,Enid,OK,73703,5201 West Garriott,
222,239.0,Canton,North Canton,OH,44720,6375 Strip Avenue, N.W.
203,239.0,Dayton Mall,West Carrollton,OH,45449,2900 Martin's Dr,
200,239.0,Mishawaka,Mishawaka,IN,46545,4660 North Grape Rd,
199,239.0,Muskegon,Muskegon,MI,49444,2035 East Sherman Blvd,
197,239.0,Indiana,Indiana,PA,15701,475 Ben Franklin Rd South,
195,239.0,Michigan City,Michigan City,IN,46360,5200 Franklin St,
190,239.0,Cartersville,Cartersville,GA,30120,301 Marketplace Blvd,
191,239.0,Rockford,Rockford,IL,61108,7130 East State Rd,
188,239.0,Boardman,Youngstown,OH,44514,1100 Doral Dr,
187,239.0,Uniontown,Uniontown,PA,15401,79 Matthew Dr,
186,239.0,S. Baton Rouge,Baton Rouge,LA,70809,10303 South Mall Dr,
2524,239.0,Greenville,Greenville,OH,45331,1550 Wagner Ave,
202,239.0,Vestal,Vestal,NY,13850,225 Sycamore Rd,
223,239.0,Gaithersburg,Gaithersburg,MD,20878,40 Market St,
224,239.0,Elyria,Elyria,OH,44035,646 Midway Blvd,
226,239.0,Erie,Erie,PA,16509,1930 Keystone Dr Suite 2,
270,239.0,Amarillo,Amarillo,TX,79119,5000 South Coulter St,
269,239.0,New Philadelphia,New Philadelphia,OH,44663,495 Mill Rd,
268,239.0,S. Oklahoma City,Oklahoma City,OK,73139,100 SW 74th St,
264,239.0,Ontario,Mansfield,OH,44906,940 N Lexington Spring Mill Rd,
265,239.0,N.E. Columbus,Columbus,OH,43219,4141 Morse Crossing,
258,239.0,Springfield,Springfield,IL,62704,3101 West Wabash,
255,239.0,Lima,Lima,OH,45807,2411 North Eastown Rd,
252,239.0,N. Seattle,Seattle,WA,98133,12525 Aurora Ave North,
250,239.0,Torrance,Torrance,CA,90501,22255 Western Ave,
249,239.0,Kennewick,Kennewick,WA,99336,N. 1020 Colorado St,
248,239.0,Medford,Medford,OR,97504,3601 Crater Lake Highway,
247,239.0,N. Richmond,Richmond,VA,23227,8001 Brook Rd,
245,239.0,Decatur,Forsyth,IL,62535,990 Hickory Pt Plaza,
246,239.0,Northglenn,Northglenn,CO,80234,261 West 104th Ave,
244,239.0,Trumbull County,Warren,OH,44484,940 Niles Cortland Rd,
243,239.0,S. Tulsa,Tulsa,OK,74133,10156 East 71st Street, South
242,239.0,Scranton,Dickson City,PA,18519,901 Viewmont Dr,
241,239.0,Stillwater,Stillwater,OK,74075,1616 North Perkins Rd,
240,239.0,Vero Beach,Vero Beach,FL,32966,6110 20th St,
236,239.0,Conway,Conway,AR,72032,1325 Highway 64 West,
235,239.0,Russellville,Russellville,AR,72802,3011 Pkwy East,
232,239.0,Conroe,Conroe,TX,77304,1920 Westview Blvd,
231,239.0,Defiance,Defiance,OH,43512,1831 North Clinton St,
272,239.0,E. Indianapolis,Indianapolis,IN,46219,8801 East 25th St,
543,239.0,Woodstock,Woodstock,GA,30189,575 Molly Ln,
432,239.0,Fayetteville,Fayetteville,AR,72703,1050 Zion Rd,
434,239.0,Gainesville,Gainesville,GA,30504,1514 Skelton Rd,
513,239.0,S.W. Dallas,Dallas,TX,75232,8520 S. Hampton Rd,
512,239.0,Stockbridge,Stockbridge,GA,30281,3505 Mt. Zion Rd,
511,239.0,Sugar Land,Sugar Land,TX,77479,16510 S. W. Freeway,
510,239.0,Mesquite,Mesquite,TX,75150,4444 N. Galloway Ave,
509,239.0,Harrisonburg,Harrisonburg,VA,22802,201 Linda Ln,
508,239.0,Burlington,Burlington,NC,27215,125 Huffman Mill Rd,
507,239.0,E. Lexington,Lexington,KY,40509,200 Old Todds Rd,
506,239.0,Athens,Athens,GA,30606,1851 Epps Bridge Rd,
504,239.0,Titusville,Titusville,FL,32780,4660 South St,
505,239.0,E. Plano,Plano,TX,75023,5001 Central Expy,
514,239.0,Burleson,Burleson,TX,76028,920 N. Burleson Blvd.,
503,239.0,E. Jacksonville,Jacksonville,FL,32225,9525 Regency Square Blvd, No.
501,239.0,N.W. Houston,Houston,TX,77070,19580 Tomball Pkwy, State Hwy 249
500,239.0,Monaca,Monaca,PA,15061,115 Wagner Rd,
499,239.0,West Columbia,West Columbia,SC,29170,2829 Augusta Rd,
498,239.0,Clarksville,Clarksville,TN,37040,2150 Lowe's Dr,
497,239.0,North Charleston,North Charleston,SC,29406,7555 Northwood Blvd,
496,239.0,Jackson,Jackson,TN,38305,671 Vann Dr,
495,239.0,Salisbury,Salisbury,NC,28146,207 Faith Rd,
494,239.0,Corbin,Corbin,KY,40701,777 West Cumberland Gap Pky,
493,239.0,Carbondale,Carbondale,IL,62901,1170 East Rendleman Rd,
492,239.0,Frankfort,Frankfort,KY,40601,350 Leonardwood Dr,
502,239.0,S. Jacksonville,Jacksonville,FL,32223,4040 Oldfield Crossing Dr,
515,239.0,N. Dallas,Dallas,TX,75244,11920 Inwood Rd,
516,239.0,Frederick,Frederick,MD,21704,5611 Buckeystown Pike,
517,239.0,Charlottesville,Charlottesville,VA,22901,400 Woodbrook Dr,
542,239.0,Mason,Mason,OH,45040,9380 Mason-Montgomery Rd.,
540,239.0,Middletown,Middletown,NY,10941,700 North Galleria Dr,
537,239.0,Hattiesburg,Hattiesburg,MS,39402,6004 U.S. Hwy. 98,
539,239.0,Mt. Pleasant,Mount Pleasant,SC,29464,1104 Market Center Blvd,
535,239.0,N. Oklahoma City,Oklahoma City,OK,73134,2400 W. Memorial Rd,
538,239.0,Southern Pines,Southern Pines,NC,28387,10845 Us 15-501 Hwy.,
534,239.0,N.W. Cincinnati,Cincinnati,OH,45251,10235 Colerain Ave,
