store,price
1628,239.00
1629,239.00
1630,239.00
1631,239.00
1632,239.00
1633,239.00
1634,239.00
1635,239.00
1636,239.00
1637,239.00
1638,239.00
1639,239.00
1640,239.00
1641,239.00
1642,239.00
1643,239.00
1644,239.00
1645,239.00
1646,239.00
1647,239.00
1648,239.00
1649,239.00
1650,239.00
1651,239.00
1652,239.00
1653,239.00
1654,239.00
1655,239.00
1656,239.00
1657,239.00
1658,239.00
1659,239.00
1660,239.00
1661,239.00
1663,239.00
1664,239.00
1665,239.00
1666,239.00
1667,239.00
1668,239.00
1669,239.00
1670,239.00
1671,239.00
1672,239.00
1674,239.00
1675,239.00
1676,239.00
1677,239.00
1678,239.00
1679,239.00
1680,239.00
1681,239.00
1682,239.00
1683,239.00
1684,239.00
1685,239.00
1687,239.00
1688,239.00
1689,239.00
1690,239.00
1691,239.00
1692,239.00
1693,239.00
1695,239.00
1696,239.00
1698,239.00
1699,239.00
1700,239.00
1701,239.00
1702,239.00
1703,239.00
1704,239.00
1705,239.00
1706,239.00
1707,239.00
1708,239.00
1709,239.00
1710,239.00
1711,239.00
1712,239.00
1713,239.00
1714,239.00
1715,239.00
1716,239.00
1717,239.00
1718,239.00
1719,239.00
1720,239.00
1721,239.00
1722,239.00
1723,239.00
1724,239.00
1725,239.00
1726,239.00
1727,239.00
1728,239.00
1729,239.00
1730,239.00
1731,239.00
1732,239.00
1733,239.00
1734,239.00
1735,239.00
1736,239.00
1737,239.00
1738,239.00
1739,239.00
1740,239.00
1741,239.00
1742,239.00
1743,239.00
1744,239.00
1745,239.00
1746,239.00
1747,239.00
1748,239.00
1749,239.00
1750,239.00
1751,239.00
1752,239.00
1753,239.00
1754,239.00
1755,239.00
1756,239.00
1757,239.00
1758,239.00
1759,239.00
1760,239.00
1761,239.00
1762,239.00
1763,239.00
1764,239.00
1765,239.00
1766,239.00
1767,239.00
1768,239.00
1769,239.00
1770,239.00
1771,239.00
1772,239.00
1773,239.00
1774,239.00
1775,239.00
1776,239.00
1777,239.00
1779,239.00
1780,239.00
1781,239.00
1782,239.00
1783,239.00
1784,239.00
1785,239.00
1786,239.00
1787,239.00
1788,239.00
1789,239.00
1790,239.00
1791,239.00
1792,239.00
1793,239.00
1794,239.00
1795,239.00
1796,239.00
1797,239.00
1798,239.00
1799,239.00
1800,239.00
1801,239.00
1802,239.00
1803,239.00
1805,239.00
1806,239.00
1807,239.00
1808,239.00
1809,239.00
1810,239.00
1812,239.00
1813,239.00
1814,239.00
1815,239.00
1816,239.00
1817,239.00
1818,239.00
1819,239.00
1820,239.00
1821,239.00
1822,239.00
1823,239.00
1824,239.00
1825,239.00
1826,239.00
1827,239.00
1830,239.00
1831,239.00
1832,239.00
1833,239.00
1834,239.00
1835,239.00
1836,239.00
1837,239.00
1838,239.00
1839,239.00
1841,239.00
1842,239.00
1843,239.00
1845,239.00
1847,239.00
1848,239.00
1849,239.00
1850,239.00
1852,239.00
1853,239.00
1854,239.00
1855,239.00
1856,239.00
1857,239.00
1858,239.00
1859,239.00
1860,239.00
1861,239.00
1862,239.00
1863,239.00
1864,239.00
1865,239.00
1866,239.00
1867,239.00
1868,239.00
1869,239.00
1870,239.00
1871,239.00
1872,239.00
1873,239.00
1874,239.00
1875,239.00
1877,239.00
1878,239.00
1879,239.00
1880,239.00
1881,239.00
1882,239.00
1883,239.00
1886,239.00
1887,239.00
1888,239.00
1889,239.00
1890,239.00
1891,239.00
1892,239.00
1893,239.00
1894,239.00
1895,239.00
1896,239.00
1897,239.00
1898,239.00
1899,239.00
1901,239.00
1903,239.00
1904,239.00
1905,239.00
1906,239.00
1907,239.00
1908,239.00
1909,239.00
1910,239.00
1911,239.00
1913,239.00
1914,239.00
1916,239.00
1917,239.00
1920,239.00
1922,239.00
1923,239.00
1924,239.00
